pair_id_clean	pubid	EBI_GOA_nonIntAct
Q04206_Q8N668	15799966	1
Q04206_Q86UE4	16452207	1
P25963_Q04206	1493333	1
Q04206_Q6IAR4	15140884	1
O75832_Q04206	18040287	1
P49841_Q04206	15465828	1
Q04206_Q92499	19058135	1
O00255_Q04206	11526476	1
Q04206_Q14690	14624448	1
O14920_Q04206	10521409	1
O15111_Q04206	10521409	1
Q04206_Q13625	10498867	1
Q04206_Q9UNN5	14600157	1
O94874_Q04206	20164180	1
Q04206_Q8N668	17183367	1
Q04206_Q96BH1	12748188	1
Q04206_Q92750	10849440	1
P32121_Q04206	15125834	1
Q04206_Q16594	15489227	1
Q04206_Q99829	18212740	1
P19838_Q04206	8441377	1
P20749_Q04206	11387332	1
O15379_Q04206	17785205	1
Q04206_Q13547	17785205	1
Q04206_Q92769	17785205	1
Q04206_Q96JB5	17785205	1
P55072_Q04323	15362974	1
P38398_Q04323	20351172	1
Q04323_Q99728	20351172	1
P55072_Q04323	21135095	1
P38919_Q04637	10523622	1
Q04637_Q14011	16513844	1
Q04637_Q14103	24423872	1
Q04637_Q53EL6	12054647	1
Q04637_Q9BWF3	17284590	1
P60228_Q04637	17468741	1
O00244_Q04656	10497213	1
Q04656_Q96L92	23563491	1
O00244_Q04656	21667063	1
Q04656_Q8N668	21667063	1
P35754_Q04656	16884690	1
O43747_Q04671	19116314	1
O95782_Q04671	19116314	1
Q04671_Q9Y2T2	19116314	1
P13760_Q04695	15795121	1
P13761_Q04695	15795121	1
Q04721_Q92585	11101851	1
Q04721_Q9NR00	25985737	1
O00548_Q04721	11823422	1
O00548_Q04721	10079256	1
O95343_Q04724	12441302	1
Q04724_Q13761	9751710	1
Q04724_Q9UJU2	9751710	1
P98170_Q04726	22304967	1
Q04726_Q9NQB0	22304967	1
O95935_Q04726	26235987	1
Q04726_Q9BQA5	17577209	1
Q04741_Q9BZH6	20887964	1
Q04759_Q9H8V3	15254234	1
P27037_Q04771	8242742	1
P36894_Q04771	18436533	1
Q04771_Q8N6C5	11266516	1
P61073_Q04900	17077324	1
Q04912_Q12891	12676986	1
P62258_Q04917	11953308	1
Q04917_Q12809	11953308	1
P04150_Q04917	9079630	1
Q04917_Q9UQC2	19172738	1
Q04917_Q8WUA7	23572552	1
Q04917_Q9NU19	23572552	1
Q04917_Q9UBF8	23572552	1
Q04917_Q14524	16728661	1
Q04917_Q13370	17255105	1
P32246_Q04941	15474493	1
Q05048_Q99728	10477523	1
P08047_Q05066	16582099	1
O00327_Q05086	24728990	1
O14599_Q05086	12207887	1
P56945_Q05209	9285683	1
Q05209_Q6P5Z4	9285683	1
P19835_Q05315	11834744	1
Q05329_Q99259	10671565	1
P54851_Q05397	19494199	1
P46939_Q05397	16803572	1
P56945_Q05397	8649368	1
Q05397_Q6P5Z4	8649368	1
Q05397_Q15654	14688263	1
P35579_Q05397	10822899	1
P54851_Q05397	21637765	1
P20936_Q05397	15077193	1
P51813_Q05397	11331870	1
O60711_Q05397	18497331	1
P21709_Q05397	19118217	1
Q05469_Q6NZI2	17026959	1
Q05513_Q96P53	16792529	1
P14314_Q05513	15707389	1
O75689_Q05513	12893243	1
P37198_Q05513	11755531	1
P63027_Q05513	17313651	1
Q05513_Q8IX03	18190796	1
Q05516_Q86UE4	19648967	1
P29590_Q05516	9294197	1
P35670_Q05516	16676348	1
Q05586_Q13224	17047094	1
Q05586_Q8TCU5	17997397	1
Q05639_Q9UBF8	17088255	1
P23396_Q05655	19059439	1
P12931_Q05655	19059439	1
Q05655_Q99638	12628935	1
P50552_Q05655	16940418	1
P00519_Q05655	10713049	1
P11388_Q05655	16611985	1
Q05655_Q9H4D1	10948194	1
P61221_Q05823	7539425	1
P26651_Q05923	21784977	1
P10323_Q05996	15950651	1
Q06124_Q14764	15133037	1
P43626_Q06124	18604210	1
P06213_Q06124	7493946	1
Q06124_Q9UGN4	16254138	1
Q06124_Q6P1J9	26742426	1
Q06124_Q9UGN4	10540326	1
Q06124_Q9UQC2	19172738	1
Q06124_Q9UGN4	16339535	1
Q06124_Q9H706	19509291	1
Q06187_Q9Y2I7	15046600	1
P42768_Q06187	8892607	1
Q06187_Q13882	15539407	1
Q06190_Q969F2	15687260	1
P30153_Q06190	9847399	1
Q06265_Q7Z333	24105744	1
Q06330_Q7LFL8	23303788	1
Q06330_Q9Y6H1	23303788	1
Q06330_Q13573	10713164	1
Q06330_Q96T58	16287852	1
Q06330_Q96K30	21102556	1
P46531_Q06330	16510869	1
Q06330_Q92585	16530044	1
Q06330_Q86X95	9874765	1
Q06413_Q9H1R3	21556048	1
Q06413_Q15796	11160896	1
P61296_Q06413	15486975	1
Q06413_Q13163	18588859	1
Q06413_Q92585	16510869	1
O96004_Q06413	16043483	1
Q06418_Q14393	7634325	1
O00459_Q06418	10627473	1
Q06455_Q5VTD9	12874834	1
Q06455_Q99684	12874834	1
P54259_Q06455	10973986	1
Q06481_Q92870	8855266	1
O14745_Q06495	22506049	1
O14745_Q06495	17895247	1
Q06587_Q6W2J9	16943429	1
Q06609_Q14159	23509288	1
Q06609_Q8NFZ0	23393192	1
P15927_Q06609	20154705	1
Q06609_Q96B01	26323318	1
P38398_Q06609	12242698	1
P00519_Q06609	9461559	1
P04637_Q06609	8675009	1
P29590_Q06609	22641345	1
Q06609_Q7Z5Q5	19995904	1
O14757_Q06609	15665856	1
Q06609_Q1ZZU3	21252223	1
Q06609_Q86XK3	21252223	1
O75417_Q06609	25642963	1
P51587_Q06609	17515903	1
P51587_Q06609	11597317	1
Q06609_Q86YC2	20871616	1
P54132_Q06609	11309417	1
Q06609_Q1ZZU3	23754376	1
Q06609_Q6PIW4	23754376	1
Q06609_Q96B01	23754376	1
Q06609_Q9NWS1	22153967	1
P51587_Q06609	20729832	1
Q06609_Q96B01	9396801	1
P07992_Q06609	16756962	1
P51587_Q06609	25585578	1
Q06609_Q8NFZ0	25585578	1
Q06710_Q9GZV5	19010321	1
Q06787_Q96EZ8	16571602	1
Q06787_Q9HCE1	25464849	1
P51114_Q06787	11157796	1
P51116_Q06787	11157796	1
Q06787_Q9UHK0	10556305	1
P05388_Q06787	24658146	1
P19338_Q06787	24658146	1
P55010_Q06787	24658146	1
Q06787_Q96F07	24658146	1
Q06787_Q7Z417	16407062	1
Q06787_Q96S59	15381419	1
Q06787_Q9UBU9	18936162	1
Q06787_Q16637	18093976	1
P05388_Q06787	15380484	1
P51114_Q06787	15380484	1
P51114_Q06787	7489725	1
P51116_Q06787	7489725	1
Q06787_Q7Z417	12837692	1
P58004_Q06830	15105503	1
Q06830_Q9Y6P5	15105503	1
Q06945_Q9Y2X9	19147588	1
P63279_Q06945	16631117	1
P04637_Q06945	19234109	1
Q06945_Q09472	19234109	1
Q06945_Q92793	19234109	1
Q07021_Q14004	16721827	1
P02751_Q07092	15165854	1
P35555_Q07092	15165854	1
P05556_Q07092	16754661	1
P17301_Q07092	16754661	1
P56199_Q07092	16754661	1
Q07157_Q16625	20164257	1
Q07157_Q96GC9	17724469	1
Q07157_Q8N144	12154091	1
Q07157_Q96J84	21402783	1
P55196_Q07157	23885123	1
Q07157_Q9UDY2	23885123	1
Q07157_Q16625	19332538	1
P78310_Q07157	11734628	1
Q07157_Q9NPG3	18823282	1
Q07157_Q9P2M7	11042084	1
Q07352_Q9UIV1	25106868	1
Q07352_Q13868	18326031	1
Q07352_Q8IU60	18326031	1
Q07352_Q9ULM6	18326031	1
Q07352_Q13868	15687258	1
Q07352_Q8IU60	15687258	1
Q07352_Q8IZH2	15687258	1
Q07352_Q9NPI6	15687258	1
Q07352_Q9ULM6	15687258	1
P06239_Q07666	9045636	1
Q07666_Q13882	10913193	1
Q07699_Q9UQD0	26900580	1
Q07812_Q7Z419	20300062	1
Q07812_Q07817	16608847	1
