pair_id_clean	pubid	GO_IPI
O25120_O25120	16260786	1
O25120_O25120	24627523	1
O25135_O25330	11196647	1
O25152_O25153	11196647	1
O25152_O25153	24627523	1
O25152_O25606	24627523	1
O25153_P71403	11196647	1
O25153_P71403	20207758	1
O25172_O25242	24627523	1
O25214_O25852	24627523	1
O25258_P97245	19801411	1
O25261_O34461	24627523	1
O25365_O25841	11196647	1
O25365_O25841	15133060	1
O25404_O25544	24627523	1
O25448_O25709	11196647	1
O25448_Q07911	11196647	1
O25448_O25709	24627523	1
O25448_Q07911	24627523	1
O25482_P56422	11196647	1
O25482_P56422	24627523	1
O25519_O25521	24627523	1
O25533_O26009	11196647	1
O25533_O26009	15133060	1
O25542_P77872	11196647	1
O25542_P77872	24627523	1
O25546_O26081	24627523	1
O25546_O34461	24627523	1
O25612_O25998	11196647	1
O25612_O25998	24627523	1
O25668_O25669	21840971	1
O25669_O25669	11196647	1
O25669_O25669	24627523	1
O25676_O25747	11196647	1
O25676_O25806	11196647	1
O25676_O25747	15133060	1
O25687_P0A0X4	11196647	1
O25687_P0A0X4	24627523	1
O25768_O25990	11196647	1
O25768_O25990	24627523	1
O25772_P0A0V6	11196647	1
O25828_O26057	11196647	1
O25828_O26057	15133060	1
O25828_O26057	24627523	1
O25829_O25842	11196647	1
O25829_O25842	15133060	1
O25896_O25896	11196647	1
O25896_O25896	15133060	1
O25916_O25916	22074440	1
O25990_Q7BK04	11196647	1
O25990_Q7BK04	15133060	1
O25990_Q6VRM0	17972918	1
O26013_O26013	11196647	1
O26013_O26013	22500516	1
O26033_Q09068	11196647	1
O26058_O34461	11196647	1
O26058_O34461	24627523	1
O26081_P55991	11196647	1
O26708_O27552	18538672	1
O27132_O27552	18538672	1
O27552_O27585	18538672	1
O27564_O27564	16990139	1
64608_O30511	17251184	1
O30916_P60953	21435037	1
O31435_O34483	25278935	1
O31435_O34507	25278935	1
O31435_P10728	25278935	1
