Pubmed	Owner	Status	Admin Users	Admin Groups	
21738726	PMDaemon	NEW		IMEX CURATORS
20565848	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21858081	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
20972224	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
18003659	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21737422	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20429888	PMDaemon	INPROGRESS	ADMIN,phantom	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
18660514	PMDaemon	NEW	ADMIN,phantom	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
21486470	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17158164	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19503796	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21931826	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21072212	PMDaemon	RELEASED	liviap	INTACT,IMEX CURATORS
21455491	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
27621415	PMDaemon	RELEASED	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21483830	PMDaemon	NEW	phantom	MINT,INTACT CURATORS,IMEX CURATORS
21345196	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
18463134	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
14530380	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15138291	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
16091628	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20505756	PMDaemon	INPROGRESS	phantom,liviap	MINT,INTACT CURATORS,IMEX CURATORS
20637895	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
21483817	PMDaemon	NEW		IMEX CURATORS
21629692	PMDaemon	RELEASED	phantom	MINT,INTACT CURATORS,IMEX CURATORS
19542202	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20361178	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20660480	PMDaemon	INPROGRESS	ADMIN,phantom	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
21849478	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
15983061	PMDaemon	RELEASED	ADMIN,phantom	ADMIN,MINT,INTACT CURATORS,IMEX CURATORS
19001122	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17626041	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
20729554	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
14557248	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
21357749	PMDaemon	INPROGRESS	ADMIN,liviap	ADMIN,INTACT,IMEX CURATORS
20686688	PMDaemon	NEW		IMEX CURATORS
18312651	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
17040897	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
11085749	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
19919681	PMDaemon	NEW		IMEX CURATORS
19426560	PMDaemon	NEW	ADMIN	ADMIN,IMEX CURATORS
