pmid	curator	curatable	curator_comment	prot_pairs	relevance	DS.interest	DS.part_interest	ccline_uniprot	noncur_prot	contains_ints_man_check	contains_ints_man_check_comment	imex_publ	imex_pair	GO_IPI_publ	GO_IPI_pair	BioGRID_publ	BioGRID_pair	tm_epmc_publ	tm_epmc_pair	EVEX_publ	EVEX_pair	STRING_textmining_pair	reactome_publ	reactome_pair	OmniPath_interactions_publ	OmniPath_interactions_pair	OmniPath_ptm_publ	OmniPath_ptm_pair	STRING_pi_pair	iid_pred
19046439				A0A140VJG0_P46527|A0A140VJG0_Q6I9V6|P12004_P24941|P12004_P54646|P12004_Q9Y478|P46527_P78396|P78396_Q6I9V6	7.01625915943259	2	6		part			no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part
18728070				A0A0D9SEM5_Q8NFZ4|A0A0D9SEP4_Q8NFZ4|A0A0D9SEQ7_Q8NFZ4|A0A0R4J2G7_Q8NFZ4|A0A0U1RRJ0_Q8NFZ4|A0A1D5RMU6_Q8NFZ4|E7EQN4_Q8NFZ4|E7ERL8_Q8NFZ4|E7ETA5_Q8NFZ4|H0Y568_Q8NFZ4|H7BYC7_Q8NFZ4|P58400_Q8NFZ4|Q8NFZ4_Q9HDB5|Q8NFZ4_Q9ULB1|Q8NFZ4_Q9Y4C0	7.01623272188869	2	15	no (Q8NFZ4,Q9HDB5,Q9ULB1,Q9Y4C0)	yes			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
17404493				A0A024R2B3_A6H8K3|A0A024R2B3_Q14573|A0A024R2B3_Q59ES2|A0A024R2C4_A6H8K3|A0A024R2C4_Q14573|A0A024R2C4_Q59ES2|A0A0S2Z3C5_A6H8K3|A0A0S2Z3C5_Q14573|A0A0S2Z3C5_Q59ES2|A6H8K3_P10415|A6H8K3_Q07817|A6H8K3_Q5TE63|P10415_Q14573|P10415_Q59ES2|Q07817_Q14573|Q07817_Q59ES2|Q14573_Q5TE63|Q59ES2_Q5TE63	7.01561131690168	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
9254650				A0A140VK49_O60716|O60716_P33151|O60716_Q59EA3|O60716_Q7KZF4|P01583_P33151|P01583_Q59EA3	7.01522038690186	2	5		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18525209				A4D0Y8_P01375|A4D0Y8_P22301|A4D0Y8_P35225|A4D0Y8_Q5STB3|A4D0Y8_Q6FGW4|P01375_P41159|P22301_P41159|P35225_P41159|P41159_Q5STB3|P41159_Q6FGW4	7.01521214964562	1	6	no (P41159)	yes			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
16920952				A0A0G2JHB5_Q8TD07|B4DUT9_Q8TD07|B7Z8M1_Q8TD07|F5H7Q8_Q8TD07|Q29980_Q8TD07|Q8TD07_Q9BZM5|Q8TD07_Q9BZM6|Q8TD07_X6R344	7.01510100666494	3	8	no (Q29980,Q8TD07,Q9BZM5,Q9BZM6)	yes			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
22140559				A0A024R5H1_A0A024R5Z9|A0A024R5H1_B4DNK4|A0A024R5H1_P14618|A0A024R5H1_V9HWB8|A0A024R5Z9_D0VY79|A0A024R5Z9_P15328|A0A024R5Z9_Q16665|A0A024R5Z9_Q9HD26|B4DNK4_D0VY79|B4DNK4_P15328|B4DNK4_Q16665|B4DNK4_Q9HD26|D0VY79_P14618|D0VY79_V9HWB8|P00533_P14618|P00533_P15941|P09467_P14618|P09467_P15941|P14207_P14618|P14207_P15941|P14618_P15328|P14618_P15941|P14618_Q16665|P14618_Q96AE4|P14618_Q9HD26|P15328_P15941|P15328_V9HWB8|P15941_Q86UG4|P15941_Q96AE4|Q16665_V9HWB8|Q9HD26_V9HWB8	7.0146289417115	4	20	no (P14207,P15328,Q86UG4)	part	yes		no	no	no	no	no	no	yes	part	yes	part	part	no	no	no	no	no	no	part	part
16935936				A0A024RBG4_P61457|P00439_P61457	7.01422209688672	1	2	no (P00439)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
17220308				A0A024QZP2_Q8IWL1|B4DNP6_Q8IWL1|Q8IWL1_Q8IWL2	7.01422209688672	1	3	no (Q8IWL1)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
18177895				A0A024RB10_P22674|A0A024RB77_P22674|B4DDL9_P22674|E7ESI2_P22674|G3V5T9_P22674|P20248_P22674|P22674_P24941	7.01422209688672	1	6	no (P22674)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
17627279				A4D177_P45973|A4D177_V9HWG0|P45973_Q13185|Q13185_V9HWG0	7.01412683582544	2	4		no			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
22034471				A0A024R215_Q6FGM0|A0A024R215_Q7Z376|A0A024R215_Q99961|A0A024R215_Q99962|P25685_P42858|P42858_Q6FHS4|Q6FGM0_Q99963|Q7Z376_Q99963|Q99961_Q99963|Q99962_Q99963	7.01410268919845	3	8		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
17141158				O00548_P20264|O00548_P20265|O00548_P50553	7.01400165559818	1	3	no (O00548,P20264)	yes			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	no	part
10854439				A0A024R3W6_B4DFN8|A0A024R3W6_P49190|A0A024R412_B4DFN8|A0A024R412_P49190|B4DFN8_O60462|B4DFN8_Q7LBX6|B4DFN8_Q7Z3T9|B4DFN8_Q96A98|B4DFN8_X5D2Q8|O60462_P49190|P49190_Q7LBX6|P49190_Q7Z3T9|P49190_Q96A98|P49190_X5D2Q8	7.01372298364249	0	7	no (Q96A98)	yes			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
20414253				O43520_P21439|O95342_P21439	7.01199204135177	1	2	no (O95342,P21439)	no			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
18262493				B4DIX5_Q13507|Q13507_Q8TD43	7.01190916050422	1	2	no (Q8TD43)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	yes	part	no	no	no	part
20441585				A0A024R657_A0A024RDV3|A0A024R657_P06400|A0A024R657_P32298|A0A024R657_Q6PD62|A0A024R680_A0A024RDV3|A0A024R680_P06400|A0A024R680_P32298|A0A024R680_Q6PD62|A0A024R6A2_A0A024RDV3|A0A024R6A2_P06400|A0A024R6A2_P32298|A0A024R6A2_Q6PD62|A0A024RDV3_A0A0S2Z595|A0A024RDV3_E9PKL5|A0A024RDV3_E9PPX2|A0A024RDV3_P15407|A0A024RDV3_P29374|A0A024RDV3_Q05CG0|A0A0S2Z595_P06400|E9PKL5_P06400|E9PPX2_P06400|P06400_P15407|P06400_P29374|P06400_Q05CG0|P29374_P32298|P29374_Q6PD62|P32298_Q05CG0|P32298_Q6PD62|Q05CG0_Q6PD62	7.01180608953093	1	12	no (P29374,P32298)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
16097394				A0A087WT22_B2RCY5|A0A087WT22_P18887|A0A087WT22_Q59HH7|A0A087WXZ1_B2RCY5|A0A087WXZ1_P18887|A0A087WXZ1_Q59HH7|A0A087X1Q1_B2RCY5|A0A087X1Q1_P18887|A0A087X1Q1_Q59HH7|A0A0G2JRN4_B2RCY5|A0A0G2JRN4_P18887|A0A0G2JRN4_Q59HH7|A0A0G2JRQ5_B2RCY5|A0A0G2JRQ5_P18887|A0A0G2JRQ5_Q59HH7|B2RCY5_H2EHT1|B2RCY5_K7PPA8|B2RCY5_P04637|B2RCY5_P09488|B2RCY5_P30711|B2RCY5_Q4GZS9|B2RCY5_Q4W251|B2RCY5_Q53GA5|B2RCY5_X5D932|B2RCY5_X5DR03|H2EHT1_P18887|H2EHT1_Q59HH7|K7PPA8_P18887|K7PPA8_Q59HH7|P04637_P18887|P04637_Q59HH7|P09488_P18887|P09488_Q59HH7|P18887_P30711|P18887_Q4GZS9|P18887_Q4W251|P18887_Q53GA5|P18887_X5D932|P18887_X5DR03|P30711_Q59HH7|Q4GZS9_Q59HH7|Q4W251_Q59HH7|Q53GA5_Q59HH7|Q59HH7_X5D932|Q59HH7_X5DR03	7.0112342118195	1	17	no (P09488)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
9500784				A8K2L2_Q9Y6X0|Q10981_Q9Y6X0	7.01109867908983	0	0	no (Q10981)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
20082308				A0A0S2Z4Z9_O15117|A0A0S2Z4Z9_P23246|A0A0S2Z4Z9_Q7Z376|A0A0S2Z4Z9_Q86VG2|A0A0S2Z4Z9_Q99962|O15117_Q15233|P23246_Q15233|P23246_Q7Z376|P23246_Q99962|Q15233_Q7Z376|Q15233_Q86VG2|Q15233_Q99962|Q7Z376_Q86VG2|Q86VG2_Q99962	7.01081191432614	1	8		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
14662744				P01138_P04629|P01138_P08138|P01138_P19174|P01138_Q15466|P04629_P19174|P04629_P29350|P04629_Q15466|P19174_Q15466	7.0100882564739	3	6		no			no	no	no	no	no	no	yes	part	no	no	part	no	no	yes	part	no	no	part	part
17699514				A5JSJ9_D3DX19|A5JSJ9_O00501|A5JSJ9_O14493|A5JSJ9_O15551|A5JSJ9_Q75L79|A5JSJ9_Q75L80|D3DX19_O95832|O00501_O95832|O14493_O95832|O15551_O95832|O95832_Q75L79|O95832_Q75L80	7.00857934293907	4	10	no (O00501,O14493,O15551)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
22047021				A0A024R4I4_A0A0S2Z3X5|A0A024R4I4_P50539|A0A024R4I4_Q12834|A0A024RDH2_B7Z4M9|A0A024RDH2_O00213|A0A0S2Z3X5_Q9UI95|A0A109NGN6_P25101|B7Z4M9_D6RAH7|B7Z4M9_P61077|D6RAH7_O00213|O00213_P61077|O75417_Q86U42|P25101_P28066|P50539_Q9UI95|Q12834_Q9UI95|Q59EE4_Q86U42	7.00739447533073	1	4		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
16371896				D3DPU8_P18428|D3DPU8_Q14050|D3DPU8_Q8TCF0|P18428_Q14050|P18428_Q14055|Q14050_Q14055|Q14050_Q8TCF0|Q14055_Q8TCF0	7.00704509981478	1	6	no (Q14050)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	no
15780992				A0A024R895_P12544|A0A0C4DFV9_P12544|P12544_P27695|P12544_Q01105|P12544_Q5TZP7|P12544_Q5VXV3	7.00523899280117	2	6	no (P12544)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
9622488				A0A087WZW1_P16233|A0A087X0Q7_P16233|P04118_P16233	7.00523899280117	1	3	no (P04118,P16233)	yes			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	part	part
19755106				Q8NFZ4_Q9NQX3	7.00498140061297	0	0	no (Q8NFZ4)	yes			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	no	no
9781816				A0A024R682_Q13287|A0A087WVR4_Q13287|A0A1W2PPD9_Q13287|G3V302_Q13287|L0N195_Q13287|P01100_Q13287|P01106_Q13287|P01562_Q13287|P04198_Q13287|P61244_Q13287|P80217_Q13287|Q13287_Q6FG41|Q13287_Q8TAX8|Q13287_Q9H224	7.00482616326951	4	14	no (P01562)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
9228302				P17693_P43629|P17693_Q13241|P17693_Q53ZY6|P17693_Q5UCE2|P17693_Q6H2G3|P17693_Q8N6C9|P43629_Q31611|P43629_Q5RJ85|P43629_Q6DU14|Q13241_Q31611|Q13241_Q5RJ85|Q13241_Q6DU14|Q31611_Q53ZY6|Q31611_Q5UCE2|Q31611_Q6H2G3|Q31611_Q8N6C9|Q53ZY6_Q5RJ85|Q53ZY6_Q6DU14|Q5RJ85_Q5UCE2|Q5RJ85_Q6H2G3|Q5RJ85_Q8N6C9|Q5UCE2_Q6DU14|Q6DU14_Q6H2G3|Q6DU14_Q8N6C9	7.0038777977313	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
21050475				A0A024R4A0_B7ZKN7|A0A024R4A0_H0YNU5|A0A024R4A0_P54132|A0A087WT22_B7Z7I2|A0A087WT22_E5KQF5|A0A087WT22_E5KQF6|A0A087WT22_F1D8N4|A0A087WT22_P04150|A0A087WXZ1_B7Z7I2|A0A087WXZ1_E5KQF5|A0A087WXZ1_E5KQF6|A0A087WXZ1_F1D8N4|A0A087WXZ1_P04150|A0A087WZ19_Q8IYW5|A0A087X1Q1_B7Z7I2|A0A087X1Q1_E5KQF5|A0A087X1Q1_E5KQF6|A0A087X1Q1_F1D8N4|A0A087X1Q1_P04150|A0A087X2H0_Q8IYW5|A0A1U9XBC1_O76064|A0A1U9XBC1_Q8IYW5|A0AVN2_Q8IYW5|A1Z5I9_O76064|A1Z5I9_Q8IYW5|A2PYH4_A8K5H6|A2PYH4_Q9UQ84|B3KM80_B7ZKN7|B3KM80_H0YNU5|B3KM80_P54132|B7Z7I2_H2EHT1|B7Z7I2_K7PPA8|B7Z7I2_P04637|B7Z7I2_Q53GA5|B7ZKN7_P19338|E5KQF5_H2EHT1|E5KQF5_K7PPA8|E5KQF5_P04637|E5KQF5_Q53GA5|E5KQF6_H2EHT1|E5KQF6_K7PPA8|E5KQF6_P04637|E5KQF6_Q53GA5|F1D8N4_H2EHT1|F1D8N4_K7PPA8|F1D8N4_P04637|F1D8N4_Q53GA5|F6MDI0_Q8IYW5|F6MDI1_Q8IYW5|F6MDI2_Q8IYW5|H0YNU5_P19338|H2EHT1_P04150|K7PPA8_P04150|O76064_Q14676|O76064_Q8IYW5|P04150_P04637|P04150_Q53GA5|P19338_P54132|Q14676_Q8IYW5|Q8IYW5_Q99728	7.00259758780565	6	30	no (A2PYH4)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
19653884				Q03933_Q9BPX3|Q9BPX3_Q9BS48	7.00256476555914	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
20154091				Q15286_Q8TEH3|Q15286_Q9HCG4	7.00256476555914	0	0	no (Q8TEH3)	part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
16822981				A0A140VJZ1_Q9BT67|P45974_Q9BT67|P46934_Q9BT67	7.00186738100461	1	3		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	part
20403371				A0A0S2Z428_P08779|P02538_P08779	7.00184730754706	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
18630471				O43542_Q01831|O43542_X5DRB1|Q01831_Q53XC8|Q53XC8_X5DRB1	7.00026126699202	0	0		part			no	no	no	no	no	no	no	no	yes	yes	part	no	no	no	no	no	no	no	no
9658366				P01568_P32881	7.00016428043383	1	1	no (P01568,P32881)	yes			no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	no	yes	no
