prot_pairs	pmids	p1	p2	DS.interest.up	DS.part_interest.up	DS.score.pred	miscore_before	miscore_after	diff	set
P62805_Q99873	24498420|16282588|19095693	P62805	Q99873	16	39	0	0.6230328	0.6230328	0	dsp
P62805_Q99873	24498420|16282588|19095693	P62805	Q99873	12	57	0	0.6230328	0.6230328	0	dsp
P78527_Q96EV8	19142223	P78527	Q96EV8	0	13	0	0	0.34505215	0.34505215	dsp
P78539_Q9BRX2	20406461	P78539	Q9BRX2	1	11	0	0	0.64982754	0.64982754	dsp
P82979_Q01081	18559666	P82979	Q01081	23	43	1	0	0.5242329	0.5242329	dsp
P84103_Q01081	18559666	P84103	Q01081	23	43	1	0	0.40116468	0.40116468	dsp
Q01081_Q01130	18559666	Q01081	Q01130	23	43	1	0.36784992	0.57295495	0.20510503	dsp
Q01081_Q07955	18559666	Q01081	Q07955	23	43	1	0.36784992	0.6461501	0.27830018	dsp
Q01094_Q92547	17913746	Q01094	Q92547	6	38	1	0.703944	0.703944	0	dsp
Q01094_Q92830	20972224	Q01094	Q92830	6	9	1	0.34505215	0.5635349	0.21848275	dsp
Q01094_Q96IZ0	18660514	Q01094	Q96IZ0	0	0	0	0	0.52423286	0.52423286	dsp
Q02750_Q13526	20179161	Q02750	Q13526	0	0	0	0	0.5079592	0.5079592	dsp
Q04206_Q9BQ69	21483817	Q04206	Q9BQ69	4	19	0	0	0.5985322	0.5985322	dsp
Q09472_Q96EB6	20660480	Q09472	Q96EB6	4	28	0	0.5892287	0.73374414	0.14451544	dsp
Q0VD86_Q8WYH8	21750715	Q0VD86	Q8WYH8	6	18	0	0	0.62537384	0.62537384	dsp
Q12933_Q9UHD2	27135603	Q12933	Q9UHD2	8	13	0	0.7583909	0.82177275	0.0633818500000001	dsp
Q13114_Q9UDY8	19917778	Q13114	Q9UDY8	7	10	0	0	0.40116468	0.40116468	dsp
Q13114_Q9UHD2	27135603	Q13114	Q9UHD2	8	13	0	0	0.40116468	0.40116468	dsp
Q13283_Q14694	21455491	Q13283	Q14694	4	18	0	0.63490963	0.75550884	0.12059921	dsp
Q13367_Q96EV8	19142223	Q13367	Q96EV8	0	13	0	0	0.34505215	0.34505215	dsp
Q13569_Q15788	16282588	Q13569	Q15788	16	39	0	0	0.57639056	0.57639056	dsp
Q14141_Q9UHD8	19145258	Q14141	Q9UHD8	10	39	0	0.5564167	0.66554815	0.10913145	dsp
Q15019_Q9UHD8	19145258	Q15019	Q9UHD8	10	39	0	0	0.48226535	0.48226535	dsp
Q15109_Q9NWZ3	21829704	Q15109	Q9NWZ3	31	61	0	0	0.46174428	0.46174428	dsp
Q16181_Q9UHD8	19145258	Q16181	Q9UHD8	10	39	0	0	0.48226535	0.48226535	dsp
Q16288_Q6PKX4	20565848	Q16288	Q6PKX4	35	159	1	0	0.5481025	0.5481025	dsp
Q16891_Q8WYQ3	26666268	Q16891	Q8WYQ3	0	0	0	0	0.62263304	0.62263304	dsp
Q4G0J3_Q7L2J0	18281698	Q4G0J3	Q7L2J0	12	22	0	0	0.46174428	0.46174428	dsp
Q4G0J3_Q96MH2	18281698	Q4G0J3	Q96MH2	12	22	0	0	0.34505215	0.34505215	dsp
Q8WYQ3_Q9BRQ6	26666268	Q8WYQ3	Q9BRQ6	0	0	0	0	0.52423286	0.52423286	dsp
Q8WYQ3_Q9NX63	26666268	Q8WYQ3	Q9NX63	0	0	0	0	0.40116468	0.40116468	dsp
Q92547_Q9UGU0	17913746	Q92547	Q9UGU0	6	38	1	0	0.6486366	0.6486366	dsp
Q92922_Q9Y466	28420882	Q92922	Q9Y466	2	10	0	0	0.34505215	0.34505215	dsp
Q92973_Q9P2E2	20526328	Q92973	Q9P2E2	6	12	0	0	0.40116468	0.40116468	dsp
Q96Q05_Q9Y2L5	21858081	Q96Q05	Q9Y2L5	2	40	1	0	0.34505215	0.34505215	dsp
Q99836_Q9BXR5	15728506	Q99836	Q9BXR5	2	8	1	0	0.40116468	0.40116468	dsp
Q9BQ69_Q9UBK9	21483817	Q9BQ69	Q9UBK9	4	19	0	0	0.34505215	0.34505215	dsp
Q9H1C4_Q9NR97	19451267|22164301	Q9H1C4	Q9NR97	3	3	0	0	0.46269515	0.46269515	dsp
Q9H1C4_Q9NR97	19451267|22164301	Q9H1C4	Q9NR97	1	1	0	0	0.46269515	0.46269515	dsp
Q9NVA2_Q9UHD8	19145258	Q9NVA2	Q9UHD8	10	39	0	0	0.48226535	0.48226535	dsp
Q9UHD2_Q9Y6W8	27135603	Q9UHD2	Q9Y6W8	8	13	0	0	0.49853906	0.49853906	dsp
