Entry	input_up	Organism ID
A0A087WQN5	A0A087WQN5	10090
A0A087WQN7	A0A087WQN7	10090
A0A087WQN8	A0A087WQN8	10090
A0A087WQN9	A0A087WQN9	10090
A0A087WQQ5	A0A087WQQ5	10090
A0A087WQV3	A0A087WQV3	10090
A0A087WQV5	A0A087WQV5	10090
A0A087WQW4	A0A087WQW4	10090
A0A087WQZ2	A0A087WQZ2	10090
A0A087WR05	A0A087WR05	10090
A0A087WR31	A0A087WR31	10090
A0A087WR33	A0A087WR33	10090
A0A087WR59	A0A087WR59	10090
A0A087WR69	A0A087WR69	10090
A0A087WR91	A0A087WR91	10090
A0A087WR96	A0A087WR96	10090
A0A087WRB2	A0A087WRB2	10090
A0A087WRC9	A0A087WRC9	10090
A0A087WRE0	A0A087WRE0	10090
A0A087WRE8	A0A087WRE8	10090
A0A087WRG0	A0A087WRG0	10090
A0A087WRG3	A0A087WRG3	10090
A0A087WRI1	A0A087WRI1	10090
A0A087WRJ2	A0A087WRJ2	10090
A0A087WRJ5	A0A087WRJ5	10090
A0A087WRK0	A0A087WRK0	10090
A0A087WRK6	A0A087WRK6	10090
A0A087WRM7	A0A087WRM7	10090
A0A087WRS1	A0A087WRS1	10090
A0A087WRS4	A0A087WRS4	10090
A0A087WRT0	A0A087WRT0	10090
A0A087WRT3	A0A087WRT3	10090
A0A087WRU7	A0A087WRU7	10090
A0A087WRW3	A0A087WRW3	10090
A0A087WRW5	A0A087WRW5	10090
A0A087WRY6	A0A087WRY6	10090
A0A087WRZ2	A0A087WRZ2	10090
A0A087WS03	A0A087WS03	10090
A0A087WS04	A0A087WS04	10090
A0A087WS07	A0A087WS07	10090
A0A087WS15	A0A087WS15	10090
A0A087WS16	A0A087WS16	10090
A0A087WS18	A0A087WS18	10090
A0A087WS23	A0A087WS23	10090
A0A087WS25	A0A087WS25	10090
A0A087WS29	A0A087WS29	10090
A0A087WS63	A0A087WS63	10090
A0A087WS83	A0A087WS83	10090
A0A087WSA4	A0A087WSA4	10090
A0A087WSB3	A0A087WSB3	10090
A0A087WSC0	A0A087WSC0	10090
A0A087WSD0	A0A087WSD0	10090
A0A087WSI0	A0A087WSI0	10090
A0A087WSI8	A0A087WSI8	10090
A0A087WSJ2	A0A087WSJ2	10090
A0A087WSK4	A0A087WSK4	10090
A0A087WSK7	A0A087WSK7	10090
A0A087WSN5	A0A087WSN5	10090
A0A087WSP5	A0A087WSP5	10090
