input_up	Organism ID
B5DEM5	10116
D3ZU22	10116
D4ACF0	10116
D3ZET5	10116
D4AD69	10116
D3ZEB8	10116
P12001	10116
D4A0J6	10116
P25886	10116
M0RCI7	10116
D4A4G8	10116
M0R556	10116
F1M1H2	10116
F1LSZ1	10116
M0R700	10116
D3ZL23	10116
M0R977	10116
F1LYQ7	10116
P60868	10116
Q8WUK0	9606
Q9QWP5	10116
P70673	10116
D3ZZ00	10116
Q9QWX3	10116
F1M9Q2	10116
Q5M929	10116
A1L1J0	10116
B5DFH7	10116
D4A9N5	10116
B5DEI3	10116
D4ADT5	10116
Q6P7B3	10116
G3V6W5	10116
B5DF45	10116
F1M101	10116
Q66HG9	10116
Q9Y166	7227
Q7KNF1	7227
Q9V9V7	7227
H5V8G4	7227
Q960Y4	7227
K7GL48	9823
K7GRP1	9823
F1RZJ8	9823
F1RVC5	9823
F1S8T8	9823
F1SET9	9823
Q95L12	9823
P20002	9823
I3L7V3	9823
K7GQJ1	9823
K7GSH3	9823
Q7YRN6	9823
I3LQ50	9823
K7GKU3	9823
K7GL40	9823
K7GQ46	9823
F1RQN3	9823
F1SKZ2	9823
F1SKZ1	9823
F1RMC4	9823
K7GR52	9823
F1RY80	9823
O14511	9606
P04626	9606
Q02297	9606
Q02297-10	9606
P21860-1	9606
F1QQE4	7955
E7FDC6	7955
F1QNA1	7955
F1R2D3	7955
E7FDW5	7955
F1R2D2	7955
A9ULS9	7955
B0UXN7	7955
F1QCC6	7955
B0UXN6	7955
F1QVG5	7955
Q6NYW6	7955
E7FGQ9	7955
F8W5Q8	7955
F8W2F9	7955
A8WHM7	7955
F1R253	7955
F1QCT8	7955
P49913	9606
Q4VK70	9823
F1RIP1	9823
F1SKC4	9823
Q71MA0	9823
Q4VK67	9823
Q70PH0	9823
Q4VK66	9823
Q923D2	10090
Q9CY64	10090
E1B8G5	9913
P09680	9913
H0ZRX0	59729
P28230	10090
F1P1P4	9031
F1P5N3	9031
Q5F487	9031
P39745	6239
Q10664	6239
Q54TA6	44689
P62157	9913
A9ZTK0	9913
P48452	9913
F1MGR9	9913
F1N6C0	9913
F1MSU2	9913
F1MLH6	9913
Q29RZ9	9913
P98201	9913
G3MYK1	9913
P63099	9913
M0RAF0	10116
Q9EQS0	10116
H1A3A2	59729
H0ZHT0	59729
H0YQ76	59729
H0ZIP5	59729
H0Z6A6	59729
H0ZD35	59729
G3V8R2	10116
D3ZPC4	10116
Q92747	9606
O15144	9606
P60953	9606
O15145	9606
Q15811	9606
P60709	9606
O15511	9606
P54762	9606
P54753	9606
P61160	9606
P54760	9606
Q15768	9606
P63261	9606
P52799	9606
P59998	9606
P29323	9606
P61158	9606
P98172	9606
O15197	9606
O00401	9606
Q68ER8	8364
