pair_id	pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
O15519_Q13546	21737330	0	1	1	1	0
O15519_Q14790	21737330	0	1	1	1	0
P25098_P48729	21695114	0	1	1	1	0
O00401_Q05193	21445324	0	1	1	1	0
O00401_Q15642	21445324	0	1	1	1	0
O00401_Q96RU3	21445324	0	1	1	1	0
O00499_O15056	21445324	0	1	1	1	0
O00499_Q9UNF0	21445324	0	1	1	1	0
O00499_Q9Y5X1	21445324	0	1	1	1	0
O15056_Q99961	21445324	0	1	1	1	0
Q05193_Q9UNF0	21445324	0	1	1	1	0
Q05193_Q9Y5X1	21445324	0	1	1	1	0
Q15642_Q9UNF0	21445324	0	1	1	1	0
Q15642_Q9Y5X1	21445324	0	1	1	1	0
Q96RU3_Q9UNF0	21445324	0	1	1	1	0
Q96RU3_Q9Y5X1	21445324	0	1	1	1	0
Q99961_Q9UNF0	21445324	0	1	1	1	0
Q99961_Q9Y5X1	21445324	0	1	1	1	0
P48995_Q13586	21408196	0	1	1	1	0
Q9UBC3_Q9UJW3	21378119	0	1	1	1	0
P05549_P63279	21375726	0	1	1	1	0
P62158_Q13576	21299499	0	1	1	1	0
P62158_Q86VI3	21299499	0	1	1	1	0
P63165_Q13569	21284855	0	1	1	1	0
Q4VCS5_Q9GZV5	21224387	0	1	1	1	0
P63167_Q9C0C7	20921139	0	1	1	1	0
Q8NEB9_Q9C0C7	20921139	0	1	1	1	0
Q14457_Q6ZNE5	20713597	0	1	1	1	0
Q14457_Q8NEB9	20713597	0	1	1	1	0
Q6ZNE5_Q8NEB9	20713597	0	1	1	1	0
O15519_Q13158	20696707	0	1	1	1	0
Q13158_Q14790	20696707	0	1	1	1	0
P49450_Q03188	20566683	0	1	1	1	0
P49450_Q96H22	20566683	0	1	1	1	0
Q03188_Q96H22	20566683	0	1	1	1	0
O15066_Q9P2E2	20526328	0	1	1	1	0
Q9P2E2_Q9Y496	20526328	0	1	1	1	0
O43187_P51617	20485341	0	1	1	1	0
P51617_Q9NWZ3	20485341	0	1	1	1	0
P09038_P11362	20421966	0	1	1	1	0
P01130_Q5SW96	20231386	0	1	1	1	0
P63165_Q9UBE0	20164921	0	1	1	1	0
P01111_P15056	20141835	0	1	1	1	0
P01116_P15056	20141835	0	1	1	1	0
Q86V81_Q9UBU9	20129943	0	1	1	1	0
P28482_Q9H8Y8	20083603	0	1	1	1	0
O95786_Q13114	19893624	0	1	1	1	0
Q13114_Q7Z434	19893624	0	1	1	1	0
Q13315_Q92993	19783983	0	1	1	1	0
P19174_P22607	19749790	0	1	1	1	0
P12830_P46940	19737400	0	1	1	1	0
P09958_P46531	19701457	0	1	1	1	0
P46531_Q04721	19701457	0	1	1	1	0
O43318_Q9NYJ8	19675569	0	1	1	1	0
O43318_Q9Y4K3	19675569	0	1	1	1	0
O95786_Q14258	19484123	0	1	1	1	0
O95786_Q8IUD6	19484123	0	1	1	1	0
Q14258_Q8IUD6	19484123	0	1	1	1	0
O95786_Q9BYX4	19479062	0	1	1	1	0
O95786_Q9Y4K3	19479062	0	1	1	1	0
Q14164_Q9Y4K3	19479062	0	1	1	1	0
Q7Z434_Q9Y4K3	19479062	0	1	1	1	0
Q92985_Q9Y4K3	19479062	0	1	1	1	0
Q9BYX4_Q9Y4K3	19479062	0	1	1	1	0
Q9UHD2_Q9Y4K3	19479062	0	1	1	1	0
Q92900_Q9HAU5	19478851	0	1	1	1	0
O15455_Q9H1C4	19451267	0	1	1	1	0
