pmid	imex	reactome	tm_epmc	iid_pred	noncur_prot
24444314	0	0	1	1	0
20565882	0	0	1	0	0
27989102	0	0	1	0	0
27849571	0	0	1	0	0
22972948	0	0	1	0	1
20368408	0	0	1	0	0
19891780	0	0	1	1	0
26034986	0	0	1	0	0
24244542	0	0	1	0	0
22905201	0	0	1	1	0
28141831	0	0	1	1	0
25878769	0	0	1	1	0
26813342	0	0	1	1	0
24498420	0	0	1	0	0
19404317	0	0	1	1	0
23785295	0	0	1	1	0
23082233	0	0	1	0	0
22140559	0	0	1	1	0
25849286	0	0	1	0	0
25476240	0	0	1	1	0
24710573	0	0	1	0	0
27311714	0	0	1	1	0
25470042	0	0	1	1	0
23293603	0	0	1	0	0
23409128	0	0	1	0	0
24391497	0	0	1	0	1
17606866	0	0	1	0	0
25115400	0	0	1	1	0
25713299	0	0	1	0	1
27762338	0	0	1	1	0
24614757	0	0	1	0	1
23179371	0	0	1	0	0
23696886	0	0	1	1	0
24206648	0	0	1	0	0
22404908	0	0	1	0	0
26076379	0	0	1	0	0
11956289	0	0	1	0	0
26694840	0	0	1	0	0
27479603	0	0	1	0	0
25417702	0	0	1	0	0
25855965	0	0	1	0	0
24904622	0	0	1	1	0
19784390	0	0	1	0	1
20209098	0	0	1	1	0
27590350	0	0	1	1	0
23819014	0	0	1	0	0
23559008	0	0	1	0	0
26828592	0	0	1	0	1
22359584	0	0	1	0	0
23290522	0	0	1	1	0
22797943	0	0	1	1	0
21291561	0	0	1	0	0
27759077	0	0	1	0	0
27551498	0	0	1	0	0
21239502	0	0	1	0	0
24567509	0	0	1	0	0
19352384	0	0	1	1	0
20305814	0	0	1	0	0
27738385	0	0	1	0	0
17635957	0	0	1	0	1
21887223	0	0	1	0	0
27300509	0	0	1	0	1
27192118	0	0	1	1	1
27641145	0	0	1	0	0
25832730	0	0	1	0	0
23555273	0	0	1	1	0
18606850	0	0	1	0	1
19079594	0	0	1	0	0
25405912	0	0	1	0	0
26763441	0	0	1	0	0
28420882	0	0	1	0	0
21930777	0	0	1	0	0
19424502	0	0	1	0	0
24877091	0	0	1	0	0
27622714	0	0	1	1	0
21859844	0	0	1	0	1
19654328	0	0	1	0	0
24844638	0	0	1	0	0
27625115	0	0	1	1	0
15655536	0	0	1	0	0
26184168	0	0	1	1	0
23844119	0	0	1	1	0
24934156	0	0	1	1	0
17954568	0	0	1	0	0
26474850	0	0	1	1	0
25171053	0	0	1	1	0
23319141	0	0	1	0	0
27434182	0	0	1	0	0
24885604	0	0	1	0	1
14662906	0	0	1	0	0
21701047	0	0	1	0	0
19917778	0	0	1	1	0
26485762	0	0	1	0	0
16282588	0	0	1	0	0
19885839	0	0	1	1	0
24357799	0	0	1	0	0
