pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_interactions
P10275_Q13451	P10275	Q13451	15131019	9606	1
P10275_Q13569	Q13569	P10275	17129768	9606	1
P10275_Q6PL18	Q6PL18	P10275	19318566	9606	1
P10275_P20142	P10275	P20142	17721441	9606	1
P07108_P10275	P10275	P07108	17721441	9606	1
P10275_Q9BW04	P10275	Q9BW04	15525603	9606	1
P10275_P37088	P10275	P37088	17721441	9606	1
P02795_P10275	P10275	P02795	17721441	9606	1
O15393_P10275	P10275	O15393	10485450	9606	1
P10275_Q12770	P10275	Q12770	15133039	9606	1
P10275_P11926	P10275	P11926	9570735	9606	1
O76076_P10275	P10275	O76076	16195407	9606	1
P07451_P10275	P10275	P07451	17721441	9606	1
P10275_Q9Y5K2	P10275	Q9Y5K2	15059887	9606	1
P10275_P52788	P10275	P52788	17721441	9606	1
O75164_P10275	O75164	P10275	17555712	9606	1
P10275_Q6IWH7	P10275	Q6IWH7	15761874	9606	1
P10275_P20815	P10275	P20815	17116727	9606	1
P10275_P16118	P10275	P16118	17721441	9606	1
P10275_Q687X5	P10275	Q687X5	15897894	9606	1
P10275_Q6ZMT4	Q6ZMT4	P10275	17277772	9606	1
P23511_Q9ULW8	P23511	Q9ULW8	16671893	9606	1
P23511_P35754	P35754	P23511	19737086	9606	1
O15350_Q14790	Q14790	O15350	18362891	9606	1
P99999_Q14790	Q14790	P99999	10364179	9606	1
P12931_Q14790	P12931	Q14790	16619028	9606	1
P12931_Q14790	P12931	Q14790	18089778	9606	1
P12931_Q14790	P12931	Q14790	18216014	9606	1
P12931_Q14790	P12931	Q14790	19851329	9606	1
P12931_Q14790	P12931	Q14790	18974049	9606	1
P12931_Q14790	Q14790	P12931		9606	1
P42684_Q14790	P42684	Q14790	18458084	9606	1
P42684_Q14790	Q14790	P42684	18458084	9606	1
P06493_Q14790	P06493	Q14790	20937773	9606	1
P06493_Q14790	P06493	Q14790	26036637	9606	1
P06493_Q14790	P06493	Q14790	24484936	9606	1
P10914_Q14790	P10914	Q14790	14993214	9606	1
P10914_Q14790	P10914	Q14790	19129219	9606	1
Q14790_Q8TCW9	Q14790	Q8TCW9	11555640	9606	1
Q14790_Q9NWB7	Q9NWB7	Q14790	17898872	9606	1
P08069_P08107	P08069	P08107	10843914	9606	1
P21333_Q9UQM7	Q9UQM7	P21333	11290523	9606	1
P21333_P38398	P21333	P38398	20305393	9606	1
P21333_P38398	P21333	P38398	22051193	9606	1
P21333_P38398	P21333	P38398	16713569	9606	1
P06493_P21333	P06493	P21333	17408621	9606	1
P06493_P21333	P06493	P21333	25445790	9606	1
P17612_P21333	P17612	P21333	15228085	9606	1
P17612_P21333	P17612	P21333	207708	9606	1
P21333_P48454	P48454	P21333	16442073	9606	1
P16298_P21333	P16298	P21333	16442073	9606	1
P21333_Q08209	Q08209	P21333	16442073	9606	1
P21333_Q01974	Q01974	P21333	18667433	9606	1
O75487_P56704	O75487	P56704	22302992	9606	1
P08754_P35462	P35462	P08754	15102843	9606	1
P35462_P49841	P49841	P35462	17536008	9606	1
P09471_P35462	P35462	P09471	15102843	9606	1
O15126_P49674	P49674	O15126	9658162	9606	1
P02671_P06213	P06213	P02671	6255944	9606	1
P02671_P06213	P06213	P02671	1956339	9606	1
P06213_Q13017	P06213	Q13017	12705864	9606	1
P06213_P51452	P51452	P06213	1281549	9606	1
P06213_P35232	P06213	P35232	22124450	9606	1
P06213_P35232	P06213	P35232	22410782	9606	1
P06213_P35232	P06213	P35232	19238206	9606	1
P06213_P54646	P54646	P06213	22207502	9606	1
P06213_Q12923	Q12923	P06213	15611135	9606	1
P06213_Q9HD43	Q9HD43	P06213	10734133	9606	1
P06213_P23469	P06213	P23469		9606	1
P06213_P23469	P23469	P06213	15738637	9606	1
P06213_Q9UEF7	Q9UEF7	P06213	17684529	9606	1
P30530_Q07954	P30530	Q07954	12069755	9606	1
Q07954_Q9UP38	Q07954	Q9UP38	14739301	9606	1
P17252_Q07954	P17252	Q07954	15272003	9606	1
P00734_Q07954	P00734	Q07954	8626456	9606	1
P01008_Q07954	P01008	Q07954	8626456	9606	1
O15111_O15379	O15111	O15379	16382138	9606	1
O15111_O15379	O15111	O15379	15494311	9606	1
O15111_Q04864	O15111	Q04864	17072339	9606	1
O15111_Q9Y261	O15111	Q9Y261	22196886	9606	1
O15111_P20338	O15111	P20338	1425574	9606	1
O15111_P24385	P24385	O15111		9606	1
O15111_Q15717	O15111	Q15717	23115237	9606	1
O15111_P49815	O15111	P49815	18490760	9606	1
O15111_Q9Y243	Q9Y243	O15111	19609947	9606	1
O15111_Q9BUZ4	O15111	Q9BUZ4	22547678	9606	1
O15111_P68431	O15111	P68431	16916935	9606	1
O15111_Q9NQC7	O15111	Q9NQC7	24614225	9606	1
O15111_P42684	P42684	O15111	21552281	9606	1
O15111_P20700	O15111	P20700	2188730	9606	1
O15111_O95786	O95786	O15111	17468758	9606	1
O15111_O95786	O95786	O15111	16177806	9606	1
O15111_O95786	O95786	O15111	16153868	9606	1
O15111_P62714	P62714	O15111	9252186	9606	1
O15111_P20333	O15111	P20333	9535738	9606	1
O15111_P20333	P20333	O15111		9606	1
O15111_P20020	O15111	P20020	2548572	9606	1
P30530_P48736	P30530	P48736	12470648	9606	1
P07225_P30530	P07225	P30530	7867073	9606	1
P30530_Q13588	P30530	Q13588	9178760	9606	1
P30530_P30531	P30530	P30531	11555659	9606	1
P19022_P39086	P19022	P39086	12151522	9606	1
P19022_P39086	P39086	P19022	12151522	9606	1
P19022_P26367	P26367	P19022	19666824	9606	1
P17612_P52565	P17612	P52565	18768928	9606	1
P17612_P52565	P17612	P52565	20028975	9606	1
P17612_P52565	P17612	P52565	15225553	9606	1
P17612_P52565	P17612	P52565	24820414	9606	1
P06239_Q96LC7	P06239	Q96LC7	11733002	9606	1
P06239_Q96LC7	P06239	Q96LC7	12163025	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	12756254	9606	1
P06239_Q9UQF2	P06239	Q9UQF2	16195223	9606	1
P06239_P18433	P18433	P06239	9535845	9606	1
P06239_P20138	P06239	P20138	10887109	9606	1
P06239_P20138	P06239	P20138	10206955	9606	1
P06239_Q13191	Q13191	P06239	8083187	9606	1
P06239_Q13191	Q13191	P06239	11904433	9606	1
P06239_P60484	P06239	P60484	11948419	9606	1
P06239_P60484	P06239	P60484	10866658	9606	1
P06239_P60484	P06239	P60484	12297295	9606	1
P06239_P60484	P06239	P60484	12077256	9606	1
P06239_Q06830	P06239	Q06830	20178744	9606	1
P06239_Q13813	P06239	Q13813	11971983	9606	1
P06239_Q05469	P06239	Q05469	3345839	9606	1
P06239_Q05469	P06239	Q05469	9417067	9606	1
P06239_Q05469	P06239	Q05469	15033481	9606	1
P06239_Q05469	P06239	Q05469	2537200	9606	1
P06239_Q05469	P06239	Q05469	16188906	9606	1
P06239_Q05469	P06239	Q05469	15308678	9606	1
P06239_Q13291	P06239	Q13291	11806999	9606	1
P06239_Q9BWW4	P06239	Q9BWW4	18080319	9606	1
O14746_P06239	P06239	O14746	10224060	9606	1
P06239_P15531	P06239	P15531	8810265	9606	1
P06239_P15531	P06239	P15531	8245015	9606	1
P06239_Q12809	P06239	Q12809	11953308	9606	1
P06239_Q12809	P06239	Q12809	10837251	9606	1
P05107_P06239	P06239	P05107	22990843	9606	1
P06239_P52757	P06239	P52757	19201754	9606	1
P06239_Q12972	P06239	Q12972	9407077	9606	1
P06239_Q12798	P06239	Q12798	11279195	9606	1
P06239_Q6ISU1	Q6ISU1	P06239	20626350	9606	1
P06239_Q9UNN4	P06239	Q9UNN4	12107178	9606	1
Q04206_Q99966	Q04206	Q99966	9660950	9606	1
Q13158_Q13233	Q13233	Q13158	15001534	9606	1
P28482_Q13158	P28482	Q13158	15001534	9606	1
P28482_Q13158	Q13158	P28482		9606	1
P67870_Q13158	P67870	Q13158	26253696	9606	1
O14733_Q13158	O14733	Q13158	15001534	9606	1
Q13158_Q93038	Q13158	Q93038	9052839	9606	1
Q13158_Q93038	Q13158	Q93038	9430227	9606	1
Q13158_Q9BV47	Q9BV47	Q13158	24548998	9606	1
Q02539_Q15369	Q15369	Q02539	20551309	9606	1
Q02539_Q15369	Q15369	Q02539	20439994	9606	1
P01106_Q05516	Q05516	P01106	18246121	9606	1
P01106_Q05516	Q05516	P01106	19723763	9606	1
P01106_P38936	P38936	P01106		9606	1
P01106_P42224	P42224	P01106	10637230	9606	1
P01106_P06730	P06730	P01106		9606	1
P01106_Q92905	Q92905	P01106	18926707	9606	1
P01106_Q01094	P01106	Q01094	15944709	9606	1
P01106_P24941	P24941	P01106	8386367	9606	1
P01106_P24941	P24941	P01106	17558397	9606	1
P01106_P24941	P24941	P01106	19966300	9606	1
P01106_P24941	P24941	P01106	20713526	9606	1
P01106_P24941	P24941	P01106	17081983	9606	1
P01106_P24941	P24941	P01106	18669648	9606	1
P01106_P24941	P24941	P01106	15103331	9606	1
P01106_Q15717	Q15717	P01106	18519672	9606	1
P01106_Q15717	Q15717	P01106	19574298	9606	1
O43521_P01106	P01106	O43521	12209154	9606	1
P01106_P45984	P45984	P01106	10551811	9606	1
P01106_P62714	P62714	P01106	16987807	9606	1
P01106_P62714	P62714	P01106	15048125	9606	1
P01106_Q96AE4	Q96AE4	P01106	15502847	9606	1
P01106_Q92831	Q92831	P01106	16126174	9606	1
P01106_Q8TEK3	Q8TEK3	P01106	26199140	9606	1
P01106_Q9UHX1	Q9UHX1	P01106	20420426	9606	1
P01106_Q01085	Q01085	P01106	17620417	9606	1
P01106_Q9Y219	P01106	Q9Y219	20133585	9606	1
P01106_P20807	P01106	P20807	16915296	9606	1
P01106_Q75NE6	P01106	Q75NE6	15944709	9606	1
O95278_Q9UMS0	O95278	Q9UMS0	12915448	9606	1
O60814_Q13043	Q13043	O60814	12757711	9606	1
P45983_Q13043	P45983	Q13043	20028971	9606	1
Q13043_Q9Y243	Q9Y243	Q13043	23431053	9606	1
P67775_Q13043	P67775	Q13043	23431053	9606	1
P67775_Q13043	P67775	Q13043	21199877	9606	1
P33778_Q13043	Q13043	P33778	21212262	9606	1
P33778_Q13043	Q13043	P33778	12757711	9606	1
P33778_Q13043	Q13043	P33778	19747733	9606	1
P33778_Q13043	Q13043	P33778	16462032	9606	1
P62136_Q13043	P62136	Q13043	21199877	9606	1
P36873_Q13043	P36873	Q13043	21199877	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	24814515	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	25402682	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	25892238	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	18243099	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	18767990	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	19203582	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	26460953	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	25298395	9606	1
Q13043_Q96GD4	Q13043	Q96GD4	21554500	9606	1
P19429_Q13043	Q13043	P19429	18986304	9606	1
Q13043_Q13085	Q13043	Q13085	7907095	9606	1
Q13043_Q13085	Q13043	Q13085	2900138	9606	1
O43524_Q13043	Q13043	O43524	18394876	9606	1
O43524_Q13043	Q13043	O43524	22898666	9606	1
O43524_Q13043	Q13043	O43524	16751106	9606	1
O43524_Q13043	Q13043	O43524	18985696	9606	1
Q13043_Q14457	Q13043	Q14457	24141421	9606	1
P31751_Q13043	P31751	Q13043	23431053	9606	1
P45985_Q13043	Q13043	P45985	9182538	9606	1
Q13043_Q9BY77	Q13043	Q9BY77	15341740	9606	1
P04049_Q13043	P04049	Q13043	22898666	9606	1
P98177_Q13043	Q13043	P98177	18394876	9606	1
O60346_Q13043	O60346	Q13043	20513427	9606	1
O60346_Q13043	O60346	Q13043	23431053	9606	1
P62140_Q13043	P62140	Q13043	21199877	9606	1
Q13043_Q99879	Q13043	Q99879	12757711	9606	1
Q13043_Q6ZVD8	Q6ZVD8	Q13043	20513427	9606	1
P62714_Q13043	P62714	Q13043	21199877	9606	1
P26927_Q13043	P26927	Q13043	11805089	9606	1
P06899_Q13043	Q13043	P06899	12757711	9606	1
P58876_Q13043	Q13043	P58876	12757711	9606	1
Q13043_Q9UL54	Q9UL54	Q13043	23431053	9606	1
Q13043_Q8N257	Q13043	Q8N257	12757711	9606	1
P62807_Q13043	Q13043	P62807	12757711	9606	1
Q13043_Q7L7X3	Q7L7X3	Q13043	23431053	9606	1
P04554_Q13043	Q13043	P04554	8218377	9606	1
Q13043_Q9H2K8	Q9H2K8	Q13043	23431053	9606	1
Q13043_Q99877	Q13043	Q99877	12757711	9606	1
Q13043_Q6DN03	Q13043	Q6DN03	12757711	9606	1
Q13043_Q6DRA6	Q13043	Q6DRA6	12757711	9606	1
P57053_Q13043	Q13043	P57053	12757711	9606	1
Q13043_Q5QNW6	Q13043	Q5QNW6	12757711	9606	1
Q13043_Q99880	Q13043	Q99880	12757711	9606	1
P23527_Q13043	Q13043	P23527	12757711	9606	1
Q13043_Q93079	Q13043	Q93079	12757711	9606	1
P53350_Q00839	P53350	Q00839	25986610	9606	1
Q07812_Q92934	Q07812	Q92934	9388232	9606	1
Q07812_Q92934	Q92934	Q07812		9606	1
P67775_Q07812	P67775	Q07812	16679323	9606	1
Q07812_Q16539	Q16539	Q07812	15642728	9606	1
Q07812_Q13263	Q13263	Q07812	17942393	9606	1
O43464_Q07812	Q07812	O43464	14585074	9606	1
O43464_Q07812	Q07812	O43464	12232790	9606	1
P10809_Q07812	P10809	Q07812	18266962	9606	1
P62714_Q07812	P62714	Q07812	16679323	9606	1
Q07812_Q99684	Q99684	Q07812	12874834	9606	1
P10606_Q07812	Q07812	P10606	11139284	9606	1
Q07812_Q14249	Q07812	Q14249	12232790	9606	1
Q07812_Q96PG8	Q96PG8	Q07812	15574335	9606	1
P10276_Q92731	P10276	Q92731	9841885	9606	1
