pair_id_clean	ida_clean	idb_clean	pubid	sources	is_directed	is_stimulation	is_inhibition	taxon	OmniPath_interactions
O43524_P10275	P10275	O43524	18391971	SPIKE	1	0	1	9606	1
P04792_P10275	P04792	P10275	19767773	Laudanna_effects;Laudanna_sigflow;SPIKE;Wang	1	1	1	9606	1
P04792_P10275	P10275	P04792	19767773	SPIKE;Wang	1	1	0	9606	1
P10275_Q99801	P10275	Q99801	8943214	SPIKE;Wang	1	1	0	9606	1
P10275_Q9Y4C1	Q9Y4C1	P10275	17363312	SPIKE	1	1	0	9606	1
P10275_Q9Y4C1	Q9Y4C1	P10275	17909537	SPIKE	1	1	0	9606	1
P10275_Q9BZK7	Q9BZK7	P10275	24243687	Signor	1	1	0	9606	1
P08473_P10275	P10275	P08473	11162897	SPIKE	1	1	0	9606	1
P10275_P17844	P17844	P10275	18829551	Signor;Laudanna_sigflow;Laudanna_effects;Wang	1	1	0	9606	1
P10275_P15309	P10275	P15309	3878148	SPIKE	1	1	0	9606	1
P10275_P21860	P10275	P21860	15542423	SignaLink3	1	1	0	9606	1
P10275_P25116	P10275	P25116	15629896	SPIKE	1	1	0	9606	1
P10275_P55075	P10275	P55075	12140757	SPIKE	1	1	0	9606	1
P09086_P10275	P10275	P09086	11096094	Laudanna_effects;CancerCellMap;Laudanna_sigflow;Wang	1	0	0	9606	1
P10275_Q13451	P10275	Q13451	15131019	SPIKE	1	1	0	9606	1
P10275_Q13569	Q13569	P10275	17129768	SPIKE	1	1	0	9606	1
P10275_Q6PL18	Q6PL18	P10275	19318566	SPIKE	1	1	0	9606	1
P10275_P20142	P10275	P20142	17721441	SPIKE	1	1	0	9606	1
P07108_P10275	P10275	P07108	17721441	SPIKE	1	1	0	9606	1
P10275_Q9BW04	P10275	Q9BW04	15525603	SPIKE	1	1	0	9606	1
P10275_P37088	P10275	P37088	17721441	SPIKE	1	1	0	9606	1
P02795_P10275	P10275	P02795	17721441	SPIKE	1	1	0	9606	1
O15393_P10275	P10275	O15393	10485450	Laudanna_effects;Laudanna_sigflow;SPIKE;Wang	1	1	0	9606	1
P10275_Q12770	P10275	Q12770	15133039	SPIKE	1	1	0	9606	1
P10275_P11926	P10275	P11926	9570735	SPIKE	1	1	0	9606	1
O76076_P10275	P10275	O76076	16195407	SPIKE	1	1	0	9606	1
P07451_P10275	P10275	P07451	17721441	SPIKE	1	1	0	9606	1
