pair_id_clean	ida_clean	idb_clean	pubid	taxon	OmniPath_ptm
P06239_P43403	P06239	P43403	7961936	9606	1
P06239_P43403	P06239	P43403		9606	1
P06239_P43403	P06239	P43403	9685404	9606	1
P06239_P43403	P06239	P43403	12522270	9606	1
P06239_P43403	P06239	P43403	10037717	9606	1
P06239_P43403	P06239	P43403	15592455	9606	1
P06239_P43403	P06239	P43403	16094384	9606	1
P06239_Q9H4E7	P06239	Q9H4E7		9606	1
O14543_P06239	P06239	O14543	12783885	9606	1
O14543_P06239	P06239	O14543	15173187	9606	1
P05107_P06239	P06239	P05107		9606	1
P06239_P22681	P06239	P22681		9606	1
P06239_Q13444	P06239	Q13444	11741929	9606	1
P06239_P52757	P06239	P52757		9606	1
P06239_Q12972	P06239	Q12972	9407077	9606	1
P06239_Q9NP31	P06239	Q9NP31		9606	1
P06239_Q12798	P06239	Q12798	11279195	9606	1
P06239_Q9Y2R2	Q9Y2R2	P06239		9606	1
P06239_P20936	P06239	P20936		9606	1
P06239_P10747	P06239	P10747	8992971	9606	1
P06239_P40259	P06239	P40259		9606	1
P06239_Q9UQQ2	P06239	Q9UQQ2	9169414	9606	1
P06239_Q9UNN4	P06239	Q9UNN4	12107178	9606	1
Q13158_Q13233	Q13233	Q13158		9606	1
P28482_Q13158	P28482	Q13158	15001534	9606	1
O14965_Q13158	O14965	Q13158		9606	1
P53350_Q13158	P53350	Q13158		9606	1
P67870_Q13158	P67870	Q13158		9606	1
O14733_Q13158	O14733	Q13158		9606	1
Q13158_Q9BV47	Q9BV47	Q13158		9606	1
Q02539_Q15369	Q15369	Q02539		9606	1
P01106_P24941	P24941	P01106	8386367	9606	1
P01106_P24941	P24941	P01106	17558397	9606	1
P01106_P24941	P24941	P01106	19966300	9606	1
P01106_P24941	P24941	P01106	20713526	9606	1
P01106_P24941	P24941	P01106	17081983	9606	1
P01106_P24941	P24941	P01106	18669648	9606	1
P01106_P24941	P24941	P01106	15103331	9606	1
P01106_P45983	P45983	P01106		9606	1
P01106_P28482	P28482	P01106	1651323	9606	1
P01106_P28482	P28482	P01106	15150404	9606	1
P01106_P28482	P28482	P01106	11018017	9606	1
P01106_P28482	P28482	P01106		9606	1
P01106_P53779	P53779	P01106		9606	1
P01106_P49840	P49840	P01106	14563837	9606	1
P01106_P49840	P49840	P01106		9606	1
P01106_P68400	P68400	P01106		9606	1
P01106_P49841	P49841	P01106	14563837	9606	1
P01106_P49841	P49841	P01106		9606	1
P01106_P45984	P45984	P01106		9606	1
P01106_P04049	P04049	P01106		9606	1
P01106_P04049	P04049	P01106	9315742	9606	1
P01106_P62714	P62714	P01106		9606	1
P01106_Q92831	Q92831	P01106	16126174	9606	1
O60814_Q13043	Q13043	O60814	12757711	9606	1
P45983_Q13043	P45983	Q13043		9606	1
P42574_Q13043	P42574	Q13043		9606	1
Q13043_Q9Y243	Q9Y243	Q13043		9606	1
P67775_Q13043	P67775	Q13043		9606	1
Q12778_Q13043	Q13043	Q12778	21245099	9606	1
P33778_Q13043	Q13043	P33778	12757711	9606	1
Q06830_Q13043	Q13043	Q06830		9606	1
Q13043_Q96GD4	Q13043	Q96GD4		9606	1
P16104_Q13043	Q13043	P16104		9606	1
P19429_Q13043	Q13043	P19429	18986304	9606	1
Q13043_Q13085	Q13043	Q13085	7907095	9606	1
Q13043_Q13085	Q13043	Q13085	2900138	9606	1
O43524_Q13043	Q13043	O43524	16751106	9606	1
O43524_Q13043	Q13043	O43524		9606	1
Q13043_Q7L9L4	Q13043	Q7L9L4	18328708	9606	1
Q13043_Q7L9L4	Q13043	Q7L9L4		9606	1
Q13043_Q9H8S9	Q13043	Q9H8S9		9606	1
Q13043_Q14457	Q13043	Q14457		9606	1
P31751_Q13043	P31751	Q13043		9606	1
P00519_Q13043	Q13043	P00519		9606	1
P00519_Q13043	P00519	Q13043		9606	1
Q13043_Q9NRM7	Q13043	Q9NRM7		9606	1
Q13043_Q9BY77	Q13043	Q9BY77	15341740	9606	1
O95835_Q13043	Q13043	O95835		9606	1
P31749_Q13043	P31749	Q13043	19940129	9606	1
P31749_Q13043	P31749	Q13043	17726016	9606	1
P31749_Q13043	P31749	Q13043	19369195	9606	1
O60346_Q13043	O60346	Q13043		9606	1
Q13043_Q99879	Q13043	Q99879	12757711	9606	1
Q13043_Q16778	Q13043	Q16778	12757711	9606	1
P26927_Q13043	P26927	Q13043		9606	1
P06899_Q13043	Q13043	P06899	12757711	9606	1
P58876_Q13043	Q13043	P58876	12757711	9606	1
Q13043_Q8N257	Q13043	Q8N257	12757711	9606	1
P62807_Q13043	Q13043	P62807	12757711	9606	1
P04554_Q13043	Q13043	P04554	8218377	9606	1
Q13043_Q99877	Q13043	Q99877	12757711	9606	1
Q13043_Q6DN03	Q13043	Q6DN03	12757711	9606	1
Q13043_Q6DRA6	Q13043	Q6DRA6	12757711	9606	1
P57053_Q13043	Q13043	P57053	12757711	9606	1
Q13043_Q5QNW6	Q13043	Q5QNW6	12757711	9606	1
Q13043_Q99880	Q13043	Q99880	12757711	9606	1
P23527_Q13043	Q13043	P23527	12757711	9606	1
Q13043_Q93079	Q13043	Q93079	12757711	9606	1
P53350_Q00839	P53350	Q00839		9606	1
P78527_Q00839	P78527	Q00839		9606	1
Q05513_Q07812	Q05513	Q07812		9606	1
Q07812_Q16539	Q16539	Q07812	15642728	9606	1
P49841_Q07812	P49841	Q07812		9606	1
Q16659_Q92731	Q16659	Q92731	15862947	9606	1
Q15418_Q92731	Q15418	Q92731	9528769	9606	1
Q15418_Q92731	Q15418	Q92731		9606	1
Q15418_Q92731	Q15418	Q92731	15862947	9606	1
P00519_Q92731	P00519	Q92731		9606	1
P56524_Q16566	Q16566	P56524	10958686	9606	1
