pair_id	id_a	id_b	pair_id_clean	id_a_clean	id_b_clean	taxid_a	taxid_b	pubid
O75081_Q9P1Z0	Q9P1Z0	O75081	O75081_Q9P1Z0	Q9P1Z0	O75081	9606	9606	23251453
O75962_Q5VZK9	Q5VZK9	O75962	O75962_Q5VZK9	Q5VZK9	O75962	9606	9606	19846667
O75962_Q9UPS8	Q9UPS8	O75962	O75962_Q9UPS8	Q9UPS8	O75962	9606	9606	22666460
P00747_P05452	P05452	P00747	P00747_P05452	P05452	P00747	9606	9606	9786936
P00747_P08697	P08697	P00747	P00747_P08697	P08697	P00747	9606	9606	134998
P00747_P04196	P04196	P00747	P00747_P04196	P04196	P00747	9606	9606	19712047
P00747_P04196	P04196	P00747	P00747_P04196	P04196	P00747	9606	9606	15220341
P00747_P02749	P02749	P00747	P00747_P02749	P02749	P00747	9606	9606	16480936
P00747_P07996	P07996	P00747	P00747_P07996	P07996	P00747	9606	9606	6438154
O95471_P16422	O95471	P16422	O95471_P16422	O95471	P16422	9606	9606	16054130
P19397_Q6UWF3	Q6UWF3	P19397	P19397_Q6UWF3	Q6UWF3	P19397	9606	9606	21930792
P19397_P60033	P60033	P19397	P19397_P60033	P60033	P19397	9606	9606	21930792
P19419_P28069	P28069	P19419	P19419_P28069	P28069	P19419	9606	9606	26612202
P19419_Q9UI95	Q9UI95	P19419	P19419_Q9UI95	Q9UI95	P19419	9606	9606	17296730
P16144_P20073	P16144	P20073	P16144_P20073	P16144	P20073	9606	9606	24007983
O75340_P20073	O75340	P20073	O75340_P20073	O75340	P20073	9606	9606	18256029
P20073_P30626	P30626	P20073	P20073_P30626	P30626	P20073	9606	9606	9268363
P20073_Q9H553	Q9H553	P20073	P20073_Q9H553	Q9H553	P20073	9606	9606	12445460
P54652_Q8WXB1	Q8WXB1	P54652	P54652_Q8WXB1	Q8WXB1	P54652	9606	9606	23921388
P61962_Q9H7S9	Q9H7S9	P61962	P61962_Q9H7S9	Q9H7S9	P61962	9606	9606	21328542
P61962_Q13627	Q13627	P61962	P61962_Q13627	Q13627	P61962	9606	9606	14593110
P61962_Q9Y463	Q9Y463	P61962	P61962_Q9Y463	Q9Y463	P61962	9606	9606	14593110
P21860_Q02297-6	P21860	Q02297-6	P21860_Q02297	P21860	Q02297	9606	9606	11389077
O95997_Q14674	O95997	Q14674	O95997_Q14674	O95997	Q14674	9606	9606	12194817
O60216_Q14674	O60216	Q14674	O60216_Q14674	O60216	Q14674	9606	9606	12672959
P14314_Q14697	P14314	Q14697	P14314_Q14697	P14314	Q14697	9606	9606	10929008
Q12791_Q2I0M4	Q12791	Q2I0M4	Q12791_Q2I0M4	Q12791	Q2I0M4	9606	9606	22547800
Q12791_Q2I0M4	Q12791	Q2I0M4	Q12791_Q2I0M4	Q12791	Q2I0M4	9606	9606	20613726
Q3V6T2_Q3V6T2	Q3V6T2	Q3V6T2	Q3V6T2_Q3V6T2	Q3V6T2	Q3V6T2	9606	9606	16139227
P31749_Q3V6T2	P31749	Q3V6T2	P31749_Q3V6T2	P31749	Q3V6T2	9606	9606	16139227
P63092_Q3V6T2	P63092	Q3V6T2	P63092_Q3V6T2	P63092	Q3V6T2	9606	9606	27621449
P08754_Q3V6T2	P08754	Q3V6T2	P08754_Q3V6T2	P08754	Q3V6T2	9606	9606	27621449
Q04759_Q3V6T2	Q04759	Q3V6T2	Q04759_Q3V6T2	Q04759	Q3V6T2	9606	9606	23509302
P27986_Q3V6T2	P27986	Q3V6T2	P27986_Q3V6T2	P27986	Q3V6T2	9606	9606	21954290
P00533_Q3V6T2	P00533	Q3V6T2	P00533_Q3V6T2	P00533	Q3V6T2	9606	9606	20462955
P35968_Q3V6T2	P35968	Q3V6T2	P35968_Q3V6T2	P35968	Q3V6T2	9606	9606	25187647
P06213_Q3V6T2	P06213	Q3V6T2	P06213_Q3V6T2	P06213	Q3V6T2	9606	9606	25187647
P00533_Q3V6T2	P00533	Q3V6T2	P00533_Q3V6T2	P00533	Q3V6T2	9606	9606	25187647
O75800_Q4LDG9	O75800	Q4LDG9	O75800_Q4LDG9	O75800	Q4LDG9	9606	9606	29601588
Q14012_Q7KZI7	Q14012	Q7KZI7	Q14012_Q7KZI7	Q14012	Q7KZI7	9606	9606	17442826
Q7KZI7_Q9Y4B5-2	Q9Y4B5-2	Q7KZI7	Q7KZI7_Q9Y4B5	Q9Y4B5	Q7KZI7	9606	9606	23902687
Q7KZI7_Q8WUI4	Q8WUI4	Q7KZI7	Q7KZI7_Q8WUI4	Q8WUI4	Q7KZI7	9606	9606	16980613
Q7KZI7_Q9NQT8	Q9NQT8	Q7KZI7	Q7KZI7_Q9NQT8	Q9NQT8	Q7KZI7	9606	9606	20194617
Q7KZI7_Q7L804	Q7L804	Q7KZI7	Q7KZI7_Q7L804	Q7L804	Q7KZI7	9606	9606	16775013
P53990_Q7LBR1	P53990	Q7LBR1	P53990_Q7LBR1	P53990	Q7LBR1	9606	9606	19129479
Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	9606	9606	21543490
P53990_Q7LBR1	P53990	Q7LBR1	P53990_Q7LBR1	P53990	Q7LBR1	9606	9606	19129480
Q7LBR1_Q8WV92	Q8WV92	Q7LBR1	Q7LBR1_Q8WV92	Q8WV92	Q7LBR1	9606	9606	23045692
Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	9606	9606	14505570
Q7LBR1_Q9HD42	Q9HD42	Q7LBR1	Q7LBR1_Q9HD42	Q9HD42	Q7LBR1	9606	9606	14505570
Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	9606	9606	17928862
O75351_Q7LBR1	O75351	Q7LBR1	O75351_Q7LBR1	O75351	Q7LBR1	9606	9606	17928862
Q7LBR1_Q9NP79	Q9NP79	Q7LBR1	Q7LBR1_Q9NP79	Q9NP79	Q7LBR1	9606	9606	23105106
Q7LBR1_Q9NP79	Q9NP79	Q7LBR1	Q7LBR1_Q9NP79	Q9NP79	Q7LBR1	9606	9606	18385515
Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	9606	9606	18997780
Q7LBR1_Q9UBP0	Q9UBP0	Q7LBR1	Q7LBR1_Q9UBP0	Q9UBP0	Q7LBR1	9606	9606	18997780
Q7LBR1_Q8WV92	Q8WV92	Q7LBR1	Q7LBR1_Q8WV92	Q8WV92	Q7LBR1	9606	9606	23015756
Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	Q7LBR1_Q9UN37	Q9UN37	Q7LBR1	9606	9606	14519844
Q7LBR1_Q9HD42	Q9HD42	Q7LBR1	Q7LBR1_Q9HD42	Q9HD42	Q7LBR1	9606	9606	14519844
P53990_Q7LBR1	P53990	Q7LBR1	P53990_Q7LBR1	P53990	Q7LBR1	9606	9606	19525971
Q96H20_Q9BRG1	Q9BRG1	Q96H20	Q96H20_Q9BRG1	Q9BRG1	Q96H20	9606	9606	14519844
Q96FZ7_Q96H20	Q96FZ7	Q96H20	Q96FZ7_Q96H20	Q96FZ7	Q96H20	9606	9606	14519844
Q86VN1_Q96H20	Q86VN1	Q96H20	Q86VN1_Q96H20	Q86VN1	Q96H20	9606	9606	14519844
Q96H20_Q96H20	Q96H20	Q96H20	Q96H20_Q96H20	Q96H20	Q96H20	9606	9606	14519844
Q96H20_Q96NA2	Q96NA2	Q96H20	Q96H20_Q96NA2	Q96NA2	Q96H20	9606	9606	17010938
Q96H20_Q9BRG1	Q9BRG1	Q96H20	Q96H20_Q9BRG1	Q9BRG1	Q96H20	9606	9606	17010938
Q86VN1_Q96H20	Q86VN1	Q96H20	Q86VN1_Q96H20	Q86VN1	Q96H20	9606	9606	17010938
Q96H20_Q99816	Q99816	Q96H20	Q96H20_Q99816	Q99816	Q96H20	9606	9606	16973552
Q96H20_Q9BRG1	Q9BRG1	Q96H20	Q96H20_Q9BRG1	Q9BRG1	Q96H20	9606	9606	16973552
Q86VN1_Q96H20	Q86VN1	Q96H20	Q86VN1_Q96H20	Q86VN1	Q96H20	9606	9606	16973552
Q96H20_Q9Y210	Q9Y210	Q96H20	Q96H20_Q9Y210	Q9Y210	Q96H20	9606	9606	23171048
Q96H20_Q99816	Q99816	Q96H20	Q96H20_Q99816	Q99816	Q96H20	9606	9606	14505570
Q96H20_Q9BRG1	Q9BRG1	Q96H20	Q96H20_Q9BRG1	Q9BRG1	Q96H20	9606	9606	14505570
Q86VN1_Q96H20	Q86VN1	Q96H20	Q86VN1_Q96H20	Q86VN1	Q96H20	9606	9606	14505570
