ida	idb	pair_id	ida_clean	idb_clean	pair_id_clean	pubid	GO_IPI
A0A0H2UPA3	A0A0H2UQ34	A0A0H2UPA3_A0A0H2UQ34	A0A0H2UPA3	A0A0H2UQ34	A0A0H2UPA3_A0A0H2UQ34	23267104	1
A0A0H2UPA7	A0A0H2UNJ7	A0A0H2UNJ7_A0A0H2UPA7	A0A0H2UPA7	A0A0H2UNJ7	A0A0H2UNJ7_A0A0H2UPA7	23267104	1
A0A0H2UPC2	A0A0H2UPM2	A0A0H2UPC2_A0A0H2UPM2	A0A0H2UPC2	A0A0H2UPM2	A0A0H2UPC2_A0A0H2UPM2	23267104	1
A0A0H2UPE1	A0A0H2UR62	A0A0H2UPE1_A0A0H2UR62	A0A0H2UPE1	A0A0H2UR62	A0A0H2UPE1_A0A0H2UR62	23267104	1
A0A0H2UPF2	A0A0H2UQP0	A0A0H2UPF2_A0A0H2UQP0	A0A0H2UPF2	A0A0H2UQP0	A0A0H2UPF2_A0A0H2UQP0	23267104	1
A0A0H2UPK7	A0A0H2URQ1	A0A0H2UPK7_A0A0H2URQ1	A0A0H2UPK7	A0A0H2URQ1	A0A0H2UPK7_A0A0H2URQ1	23267104	1
A0A0H2UPM2	A0A0H2UPC2	A0A0H2UPC2_A0A0H2UPM2	A0A0H2UPM2	A0A0H2UPC2	A0A0H2UPC2_A0A0H2UPM2	23267104	1
A0A0H2UPN3	Q97QT7	A0A0H2UPN3_Q97QT7	A0A0H2UPN3	Q97QT7	A0A0H2UPN3_Q97QT7	23267104	1
A0A0H2UPP8	Q38003	A0A0H2UPP8_Q38003	A0A0H2UPP8	Q38003	A0A0H2UPP8_Q38003	27103053	1
A0A0H2UPP8	Q38010	A0A0H2UPP8_Q38010	A0A0H2UPP8	Q38010	A0A0H2UPP8_Q38010	27103053	1
A0A0H2UPV5	A0A0H2UNG1	A0A0H2UNG1_A0A0H2UPV5	A0A0H2UPV5	A0A0H2UNG1	A0A0H2UNG1_A0A0H2UPV5	23267104	1
A0A0H2UPV6	P05382	A0A0H2UPV6_P05382	A0A0H2UPV6	P05382	A0A0H2UPV6_P05382	23267104	1
A0A0H2UPY2	A0A0H2UR23	A0A0H2UPY2_A0A0H2UR23	A0A0H2UPY2	A0A0H2UR23	A0A0H2UPY2_A0A0H2UR23	23267104	1
A0A0H2UPY3	P65946	A0A0H2UPY3_P65946	A0A0H2UPY3	P65946	A0A0H2UPY3_P65946	19098921	1
A0A0H2UPY3	Q97NV3	A0A0H2UPY3_Q97NV3	A0A0H2UPY3	Q97NV3	A0A0H2UPY3_Q97NV3	19098921	1
A0A0H2UPY3	Q97NX6	A0A0H2UPY3_Q97NX6	A0A0H2UPY3	Q97NX6	A0A0H2UPY3_Q97NX6	19098921	1
A0A0H2UPY3	Q97SE5	A0A0H2UPY3_Q97SE5	A0A0H2UPY3	Q97SE5	A0A0H2UPY3_Q97SE5	19098921	1
A0A0H2UQ34	A0A0H2UPA3	A0A0H2UPA3_A0A0H2UQ34	A0A0H2UQ34	A0A0H2UPA3	A0A0H2UPA3_A0A0H2UQ34	23267104	1
A0A0H2UQ73	A0A0H2URA2	A0A0H2UQ73_A0A0H2URA2	A0A0H2UQ73	A0A0H2URA2	A0A0H2UQ73_A0A0H2URA2	23267104	1
A0A0H2UQ84	E7DN95	A0A0H2UQ84_E7DN95	A0A0H2UQ84	E7DN95	A0A0H2UQ84_E7DN95	27103053	1
A0A0H2UQ93	Q97SR4	A0A0H2UQ93_Q97SR4	A0A0H2UQ93	Q97SR4	A0A0H2UQ93_Q97SR4	23267104	1
A0A0H2UQB1	P67330	A0A0H2UQB1_P67330	A0A0H2UQB1	P67330	A0A0H2UQB1_P67330	23267104	1
A0A0H2UQB7	A0A0H2UNW3	A0A0H2UNW3_A0A0H2UQB7	A0A0H2UQB7	A0A0H2UNW3	A0A0H2UNW3_A0A0H2UQB7	23267104	1
A0A0H2UQB7	A0A0H2USB7	A0A0H2UQB7_A0A0H2USB7	A0A0H2UQB7	A0A0H2USB7	A0A0H2UQB7_A0A0H2USB7	23267104	1
A0A0H2UQB9	A0A0H2UMV2	A0A0H2UMV2_A0A0H2UQB9	A0A0H2UQB9	A0A0H2UMV2	A0A0H2UMV2_A0A0H2UQB9	23267104	1
A0A0H2UQB9	Q38011	A0A0H2UQB9_Q38011	A0A0H2UQB9	Q38011	A0A0H2UQB9_Q38011	27103053	1
A0A0H2UQC2	Q97NV6	A0A0H2UQC2_Q97NV6	A0A0H2UQC2	Q97NV6	A0A0H2UQC2_Q97NV6	23267104	1
A0A0H2UQD6	A0A0H2UNW5	A0A0H2UNW5_A0A0H2UQD6	A0A0H2UQD6	A0A0H2UNW5	A0A0H2UNW5_A0A0H2UQD6	23267104	1
A0A0H2UQF6	A0A0H2URR3	A0A0H2UQF6_A0A0H2URR3	A0A0H2UQF6	A0A0H2URR3	A0A0H2UQF6_A0A0H2URR3	23267104	1
