pmid	method_term_simple
27235443	clip
27220464	iclip
27220464	par-clip
27623008	clip-seq
27623008	clipseq
27623008	clip
27666543	iclip
27666543	clip-seq
27665711	par-clip
27058758	iclip
27058758	clip
27584791	clip-seq
27172226	iclip
27592685	par-clip
27882870	iclip
27882870	clip
27845622	clip
27729373	clip
27930710	hits-clip
27930710	clip
27905398	iclip
28000671	clip
28053162	par-clip
28017521	clip
28102325	par-clip
27763814	clip-seq
27763814	iclip
27763814	par-clip
27763814	clip
28129347	clip-seq
28326080	clip
28291226	hits-clip
28291226	clip
28333956	par-clip
28297668	iclip
28297668	clip
28296727	clip
28082677	hits-clip
28426094	clip
27994030	cross linking immunoprecipitation
27994030	clip
28224210	clip
28417942	clip
28410363	clip-seq
28410363	par-clip
28410363	clip
28521727	clip
