pmid	method_term_simple
27075229	clip
27438086	clip
27371828	clip-seq
27371828	clip
27096301	clip-seq
27096301	clip
27415424	clip-seq
27415424	par-clip
27415424	hits-clip
27415424	clip
27510448	iclip
27510448	par-clip
27178967	iclip
27541140	clip-seq
27541140	par-clip
27541140	hits-clip
27541140	clip
27481129	clip
27353330	clip
27378784	par-clip
27378784	hits-clip
27378784	clip
27558897	par-clip
27561929	clip
27235443	clip
27220464	iclip
27220464	par-clip
27623008	clip-seq
27623008	clipseq
27623008	clip
27666543	iclip
27666543	clip-seq
27665711	par-clip
27665711	clip
27058758	iclip
27058758	clip
27584791	clip-seq
27455420	clip
27592685	par-clip
27882870	iclip
27882870	clip
27845622	clip
27729373	clip
27930710	hits-clip
27930710	clip
27905398	iclip
28000671	clip
28053162	par-clip
28017521	clip
28102325	par-clip
27763814	clip-seq
27763814	iclip
27763814	par-clip
27763814	clip
28129347	clip-seq
18841201	clip
28114302	clip
28132887	clip
28248290	clip
28326080	clip
28291226	hits-clip
28291226	clip
28333956	par-clip
28297668	iclip
28297668	clip
28296727	clip
28082677	hits-clip
28180311	clip-seq
28180311	clip
28426094	clip
27994030	cross linking immunoprecipitation
27994030	clip
28138077	clip-seq
28224210	clip
28417942	clip
28410363	clip-seq
28410363	par-clip
28410363	clip
28489076	clip
28521727	clip
28467899	iclip
28394372	iclip
28549443	iclip
28334930	par-clip
28334781	par-clip
28512204	clip
28580901	iclip
28622508	clip-seq
19114595	clip
28638064	clip
28650797	par-clip
28650797	clip
28297718	par-clip
28592444	iclip
28379442	clip-seq
28379442	iclip
28379442	par-clip
28379442	clip
28472401	par-clip
28675155	iclip
28650318	iclip
28685749	par-clip
28635594	clip-seq
28635594	clip
28436985	hits-clip
28436985	clip
28281539	clip-seq
28281539	clip
28465487	par-clip
28465487	clip
28754924	clip
28768202	cross linking immunoprecipitation
28768202	clip
28821799	clip
28025059	hits-clip
28846937	par-clip
28855728	par-clip
28855728	hits-clip
28855728	clip
28716805	clip
28819321	clip-seq
28819321	clip
28870287	clip
28874828	clip-seq
28874828	par-clip
28874828	clip
28882193	clip
28886744	clip-seq
28886744	par-clip
28886744	hits-clip
28886744	clip
28418038	par-clip
28955911	clip
28877994	clip
28920956	hits-clip
28899899	iclip
29044109	clip-seq
29044109	clip
28984244	par-clip
28984244	clip
29084609	iclip
29084609	clip
29030484	iclip
29108255	clip-seq
29098441	clip
29042512	clip
29117863	clip-seq
29117863	clip
29163548	clip
29146908	par-clip
29146908	clip
28643459	clipseq
29036638	clip
28977511	clip
30053258	clip-seq
30053258	par-clip
30053258	clip
29036465	clip
29213077	clip
29149290	clip
29242583	clip-seq
29242565	clip
28945502	clip-seq
28945502	par-clip
28945502	clip
29220657	iclip
28977530	clip
28575488	clip-seq
28586478	par-clip
28586478	clip
29269732	iclip
29309431	clip
29311560	clip-seq
29311560	hits-clip
29311560	clip
29317670	clip
29317670	clip-seq
29317670	hits-clip
28943274	clip
28846091	clip-seq
28934468	iclip
28934506	iclip
28934506	clip-seq
28934469	clip
29330504	clip
29375381	clip-seq
29339785	iclip
29144508	par-clip
29023197	clip-seq
29379020	iclip
29379020	hits_clip
29379020	hits-clip
29379020	clip
29435217	clip
19289791	clip
29472612	clip
29476152	clip-seq
29476152	iclip
29476152	par-clip
29476152	hits-clip
29476152	clip
29490700	clip
29510730	clip-seq
29545791	clip
29358707	iclip
29520069	clip-seq
29520069	clip
29555965	clip
29559621	clip-seq
29559621	par-clip
29559621	clip
29483655	clip-seq
29483655	clip
29507242	iclip
29674645	clip-seq
29674645	clip
29343508	clip
29610341	clip-seq
29610341	hits-clip
29610341	clip
29632210	clip
29712923	clip
29512694	iclip
29512694	par-clip
29512694	clash
29512694	hits-clip
29512694	clip
29429992	clip-seq
29429992	clip
29740493	clip-seq
29739365	clip
29748555	clip-seq
29748555	clip
29573145	clip
29719263	clip
29867922	clip
29741478	iclip
29741478	clip
29802307	clip
29617352	clip
29951557	clip
29706498	par-clip
19753306	clip
29891946	iclip
